SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2959 23rd St,San Francisco,CA,94110,1795000,4,3,Inner Mission,2915,1947,,9,616,,Active,,,http://www.redfin.com/CA/San-Francisco/2959-23rd-St-94110/home/1759431,San Francisco MLS,478030,N,Y,37.7540826,-122.4114415
MLS Listing,,Condo/Co-op,200 Townsend St #43,San Francisco,CA,94107,1149000,1,1,South Beach,1255,,2003,9,916,695,Active,November-3-2018 11:00 AM,November-3-2018 02:00 PM,http://www.redfin.com/CA/San-Francisco/200-Townsend-St-94107/unit-43/home/2059828,San Francisco MLS,478023,N,Y,37.7788344,-122.3930373
MLS Listing,,Single Family Residential,18 Santa Ysabel Ave,San Francisco,CA,94112,1595000,3,2,Mission Terrace,2242,3685,1939,9,711,,Active,November-3-2018 01:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/18-Santa-Ysabel-Ave-94112/home/905675,San Francisco MLS,478042,N,Y,37.7273589,-122.4385625
MLS Listing,,Single Family Residential,933 Girard St,San Francisco,CA,94134,789000,2,1,Visitation,800,2996,1926,9,986,,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/933-Girard-St-94134/home/1688065,Bridge MLS,40843701,N,Y,37.7210477,-122.4015299
MLS Listing,,Townhouse,103 Seal Cove Ter,San Francisco,CA,94134,990000,4,4,Candlestick Point,1655,,2008,9,598,404,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/103-Seal-Cove-Ter-94134/home/21966158,San Francisco MLS,478041,N,Y,37.7118047,-122.3947213
MLS Listing,,Condo/Co-op,239 Brannan St Unit 3D,San Francisco,CA,94107,1395000,2,2,South Beach,1173,,2002,9,1189,1141,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/239-Brannan-St-94107/unit-3D/home/1553223,San Francisco MLS,477958,N,Y,37.782646,-122.390388
MLS Listing,,Condo/Co-op,1333 Jones St #805,San Francisco,CA,94109,3795000,2,2,Nob Hill,1955,,1961,9,1941,1936,Active,,,http://www.redfin.com/CA/San-Francisco/1333-Jones-St-94109/unit-805/home/12400894,San Francisco MLS,477742,N,Y,37.793621,-122.4148823
MLS Listing,,Condo/Co-op,338 Main St Unit 21D,San Francisco,CA,94105,1350000,1,1,South Beach,873,,2015,9,1546,1031,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/338-Main-St-94105/unit-21D/home/108457261,San Francisco MLS,478027,N,Y,37.7888208,-122.3912963
MLS Listing,,Single Family Residential,627 28th Ave,San Francisco,CA,94121,1350000,3,2,Central Richmond,1462,3000,1952,9,923,,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/627-28th-Ave-94121/home/1508127,San Francisco MLS,477715,N,Y,37.7774472,-122.4880516
MLS Listing,,Single Family Residential,425 Valley St,San Francisco,CA,94131,2385000,3,2,Noe Valley,2490,2850,1930,10,958,,Active,,,http://www.redfin.com/CA/San-Francisco/425-Valley-St-94131/home/808153,San Francisco MLS,478020,N,Y,37.7440381,-122.4318272
MLS Listing,,Condo/Co-op,308 Bartlett St Unit B,San Francisco,CA,94110,1249000,3,2,Inner Mission,1156,,1902,10,1080,487,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/308-Bartlett-St-94110/unit-B/home/147803498,San Francisco MLS,478019,N,Y,37.7518385,-122.4197747
MLS Listing,,Condo/Co-op,488 Folsom #3405,San Francisco,CA,94105,3090000,2,2.5,South Beach,1679,,2019,10,1840,1759,Active,,,http://www.redfin.com/CA/San-Francisco/488-Folsom-St-94105/unit-3405/home/147803050,San Francisco MLS,478010,N,Y,37.7875742,-122.3942618
MLS Listing,,Condo/Co-op,488 Folsom St #3503,San Francisco,CA,94105,1785000,1,1.5,South Beach,913,,2019,10,1955,1538,Active,,,http://www.redfin.com/CA/San-Francisco/488-Folsom-St-94105/unit-3503/home/147803041,San Francisco MLS,478017,N,Y,37.7875742,-122.3942618
MLS Listing,,Condo/Co-op,488 Folsom St #3706,San Francisco,CA,94105,2625000,2,2,South Beach,1249,,2019,10,2102,1635,Active,,,http://www.redfin.com/CA/San-Francisco/488-Folsom-St-94105/unit-3706/home/147803040,San Francisco MLS,478007,N,Y,37.7875742,-122.3942618
MLS Listing,,Condo/Co-op,51 Moss St Unit C,San Francisco,CA,94103,799000,2,2,South of Market,1051,,1906,10,760,275,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/51-Moss-St-94103/unit-C/home/147802838,San Francisco MLS,478014,N,Y,37.7778929,-122.4079352
MLS Listing,,Condo/Co-op,1200 Gough St Unit 5B,San Francisco,CA,94109,549000,1,1,Van Ness/Civic Center,550,,1966,10,998,549,Active,,,http://www.redfin.com/CA/San-Francisco/1200-Gough-St-94109/unit-5B/home/1909677,San Francisco MLS,459056,N,Y,37.7849107,-122.4241614
